ID,Name,Type,Website,Purpose,Meeting Day,Meeting Location
1880,Refugee Aid Initiative SDSU,Service & Support,http://None,"Refugee Aid Initiative is a non-profit, community service based organization aimed in the support, aid, and advocacy of refugee and underserved communities.",Tuesday 5:30-6:30pm,Zoom
1888,Women in Business,Academic Major Related,https://www.sdsuwib.org/,"Our mission is to empower and support those who identify as women that are majoring, minoring, or interested in business at San Diego State University. We strive to provide an inclusive space that informs, engages, and guides our members to leadership/career opportunities because we believe in their potential to make a difference.",Tuesday 6:00 P.M.,TBD - Check IG @SDSUwib
1900,Middle Eastern North African Student Union,Cultural,,"The mission of this organization is to build a community, increase student involvement, advocate, and help M.E.N.A. students feel belonging at SDSU. The organization welcomes all students and individuals from all backgrounds and cultures. We hope to share our culture with the rest of the SDSU population and welcome any individuals from the M.E.N.A region and its allies.",,
1904,Mustard Seed Project,Service & Support,http://www.mustardproject.com,"The Mustard Seed Project's mission - guided by a ""hand up, not hand out"" philosophy - is to connect unsheltered individuals to services and programs through relationship-based outreach and volunteer case management.",,
1910,Recovery at State,Service & Support,,"We are a culturally diverse group of SDSU undergraduates, graduates, staff, faculty, and alumni who have come together to fight the stigma of behavioral, drug, and alcohol addiction and to create a safe, sober environment in which SDSU students can flourish.",Wednesdays 11 am - 12 pm,Calpulli Office 4th floor conference room 2
1915,Collegiate Sales Society,Academic Major Related,https://www.collegiatesalessociety.org/,"We are the San Diego State University chapter of Collegiate Sales Society, a non-profit national collegiate sales club. Our organization is a group of students interested in pursuing sales jobs after graduation and we’re dedicated to helping San Diego State University students learn about the sales profession, become trained on sales techniques, network with industry sales leaders, and earn sales internships and full-time jobs.",every other Tuesday at 7:00,Student Union
1918,Rehabilitation Counseling Student Association (RCSA),Academic Major Related,,"The purpose of this organization is to support Rehabilitation Counseling students by providing them with opportunities to develop academically, socially, and professionally.  We encourage students to cultivate and foster relationships both on campus and within the community. We do this by exchanging information, networking, mentoring, reaching out to prospective students, planning a lecture series, presenting research, and attending conferences.",Monday,Zoom
1927,Tijuana Home Build,Service & Support,https://www.instagram.com/tjhbsdsu/,"The purposes of this organization are to raise funds to build a home for a family living in dire conditions in Tijuana, Mexico and to provide students with the opportunity to grow their leadership skills and cross-cultural understanding through international volunteer work. TJHB integrates educational components that raise awareness on topics pertaining to homelessness and basic needs in Tijuana, Mexico and San Diego among the  general body members as well as the campus community.","Weekly on Thursdays, 6:00pm-7:00pm",Legacy Suite
1933,Indigenous Social Work Alliance,Cultural,,"Foster leadership, social justice advocacy, professionalism for Indigenous students in the social work field.",,Native Resource Center
1941,Pre-Occupational Therapy Student Association (POTSA),Academic Major Related,,"The Pre-Occupational Therapy Student Association (POTSA) serves to enhance our members knowledge of occupational therapy by providing various resources essential to succeeding in the field. Members will have opportunities to connect with practitioners, their fellow peers, SDSU faculty, and the community through volunteer work, observation, and guest presentations. POTSA assists our members with the graduate school application process through peer support, facilitation of workshops, and graduate school visits, in addition to other events. We aim to inspire students to form meaningful connections with the world of occupational therapy.",Every other Tuesday 7:30pm- 8:30pm,Zoom
1944,Women of Aeronautics and Astronautics,Academic Major Related,https://woaasdsu.wixsite.com/home,"Our purpose is to promote and support students from marginalized genders to pursue careers that support space exploration and aeronautic efforts.  We are open to all women, gender minorities, and allies, and we are a trans-inclusive organization that welcomes individuals who identify as gender non-conforming.",Tuesdays 1pm,
1963,Geography Graduate Student Association,Academic Major Related,http://ggsa.sdsu.edu,"The purposes of this organization are to provide students with the opportunity to enhance their academic and professional goals through student-led events and monthly meetings. Participants are encouraged to attend said monthly meetings and collaborate with each other to build relationships, learn valuable leadership skills, create academic-based programs, and serve their department and fellow students when needed.",,
1977,Photography Club,Academic Major Related,https://sdsuphotographyclub.weebly.com,"The purposes of this organization are to create a supportive community that promotes passion, creativity, and knowledge through photography and fosters growth in technical skills and artistic vision to photographers of all levels of experience.",Wednesday 5:00,
2001,Delta Chi Fraternity,Social Fraternity,https://deltachi.org,"To promote friendship, develop character, advance justice, and assist in the acquisition of a sound education.",,
2021,Aztec Trading and Investing Group,Recreational,,"The purpose for this organization is to provide individuals who share a common interest for investing in the stock market, but are unsure where to begin or learn, a chance to be apart of an investing group where members can successfully learn proven investment strategies. New members will learn about what the stock market is and use this organization as a way to learn before how to invest. 90% of investors who don't learn end up losing money and we want to help people learn before they earn.",Thursdays around 6 pm,TBD
2023,Black Renaissance,Cultural,,Our mission is to promote black influence and talent within theater and film. We are an outlet where representation for the black community is present on campus through the creative arts.,Wednesdays 12pm-1pm,Black Resource Center
2028,Students for Justice in Palestine,Political,,"As a student organization, SJP is committed to promote awareness to our community and fellow students about Palestinian culture, history, heritage, and current political issues. SJP’s activities include biweekly general body meetings, interactive educational events, film screenings, discussion forums, teach-ins, and demonstrations designated to encourage activism in solidarity with the struggle of the Palestinian people.",08/28/2023 Bi-Weekly Monday Meetings,Visionary Suite
2033,Empowering Women in Law at San Diego State University,Academic Major Related,,"We understand that on many campuses, there does not yet exist a space for undergraduate women interested in law to meet, build friendships, and discuss issues involving women in the field of law. It is very important to note that Empowering women in Law is not only for women, students of all gender and sexual identities are welcome to participate and join, as long as they are dedicated to empowering women.",Tuesday 5pm - 6pm,
2039,Latinx Student Union,Cultural,,"The purpose of this organization is to unite, educate, and empower Latinx students through the celebration of culture and the promotion of positivity, mentorship, purpose, and awareness in all that we do. We seek to bring awareness centered around equity, social justice, and anti-racism. Ultimately, to inform and involve all members in issues that may affect their lives or welfare of the community.",Bi Weekly Tuesdays 6-8pm,Visionary Suite
2040,The Show,Recreational,,"The purposes of this organization are to enhance and engage with SDSU’s Athletic community at sporting events and through social media interactions. The Show strives to provide the best sporting experience for Aztec alumni, current, and future students.",,
2044,SoundWave,Recreational,https://soundwavesdsu.wixsite.com/mysite,"The purposes of this organization are expressing individual talent, encouraging creativity, fostering teamwork, embracing diversity, and dedicating to the performing arts.",Wednesdays & Sundays: 7-9pm,SDSU music building
2048,FRIENDS OF MSF,Academic Major Related,,The purposes of this organization are to enable San Diego State University communities to spread the message about MSF and the incredible work they do all while being advocates for positive holistic growth.,,
2054,Musical Theatre Club,Academic Major Related,,"The purpose of this organization is to develop the next group of triple-threat performers in the SDSU community by providing a safe, professional space for exploring theatrical creativity and developing individual musical artistry. Our club is the place to take risks and to grow.",Friday 1pm,Virtual/ DA 101
2056,Biology Grad Student Association,Academic Major Related,,"The purpose of the BGSA is to provide a welcoming and supportive space for all biology graduate students to bring questions and express concerns regarding their graduate experience at San Diego State University (SDSU). BGSA prioritizes a diverse and inclusive membership and is committed to representing students regardless of race, ethnicity, nationality, sexual orientation, gender identity, age, religion, parental status, and/or  socioeconomic status. BGSA will bring student concerns to the administrative level by engaging with Biology department leadership and the university-wide Graduate Student Association. Additionally, BGSA strives to host social and academic events to encourage community building between students, faculty, staff, administrators and greater San Diego.",TBD,TBD
2058,The Women's Network (TWN),Leadership,https://www.thewomens.network/,"A collegiate women's networking organization focused on connecting women to each other and to leaders across many industries, as well as celebrating ambition. We hold a variety of events such as speaker meetings, alumni receptions, and resume workshops.",Mondays 7pm,TBD
2076,Girl Gains SDSU,Cultural,http://girlgains.co,Our mission is to promote female weight lifting while empowering women to feel strong and beautiful in a judgement free community.,Monday at 6:15pm (biweekly),Legacy Suite
2078,Aztec Aviators,Academic Major Related,,"The purposes of this organization are to: 	 	Provide hands-on experience with the research, design, and manufacturing of aircraft,  	Provide an environment to apply learned sciences to real engineering applications, 	 	Emphasize the importance of safety within the Aviation industry,  	Provide a responsive and enriching environment for those who pilot aircraft and are interested in piloting aircraft, including but not limited to airplanes, helicopters, gyroplanes, balloons, airships, gliders, sailplanes, unmanned aerial vehicles, and drones, to engage in activities that positively affect members’ interest and ability in aviation.  	Provide an environment where Federal Aviation Administration Certified pilots may organize to share an aircraft for time-building purposes set out under FAR 61.51 (e)(i) and (e)(iii), FAR 91.109 (c)(1), and FAR 61.57.",,
2085,Aztec Council On Systems Engineering,Academic Major Related,https://www.incose.org,"The mission of The Aztec Council On Systems Engineering student division is to advance the state of the art and educate students in the practice of systems engineering in academia, industry, and government while promoting interdisciplinary research, and scalable approaches for producing technologically appropriate solutions that meet societal needs.",Thursdays 11:00am-12:00pm,Union 3 - State Suite
2094,Student Parent & Allies Association (SPAA),Cultural,,"Our mission along with our allies is to care, support, and empower student parents by serving as a first stop, so they can become their best in school and at home. As a community within Educational Opportunity Programs (EOP) and Ethnic Affairs, Student Parent & Allies Association (SPAA) is dedicated to providing support and resources for student parents and allies by offering family-friendly social activities, virtual support groups, and academic and career counseling.",Fridays 3:00 pm- 4:00 pm,TBD
2096,The Look Magazine,Academic Major Related,https://thelookmagsdsu.com,"The purpose of this organization is to highlight and promote student art, fashion, and culture at SDSU.",,
2105,Tau Kappa Epsilon Fraternity,Social Fraternity,https://www.tke.org/chapter/183/gamma-lambda,"Our purpose of being a TKE: advancing character and personal development means unlocking the potential for each man to be a great college graduate and productive citizen. A Teke is a man who is trustworthy and lives the values enunciated in our Declaration of Principles, helping each member integrate Love, Charity, and Esteem into his daily life.","Sunday, 5:30","Park Blvd, Aztec Union"
2108,Zeta Phi Beta Sorority Incorporated,Social Sorority,https://zphib1920.org,"Zeta Phi Beta Sorority, Inc. (¿F¿) was founded on January 16,1920 on the campus of Howard University in Washington D.C. by five visionary women, Arizona Cleaver Stemons, Pearl Anna Neal, Myrtle Tyler Faithful, Viola Tyler Goings and Fannie Pettie Watts. The founders of Zeta Phi Beta possessed strength of character, pride in academic achievement, emphasized a commitment to sisterhood and a demonstrated a true passion for service, a legacy that is still held by the women of Zeta today.  The founding principles of Zeta Phi Beta are Scholarship, Service, Sisterhood and the noble concept of Finer Womanhood. Zeta is “A Community-Conscious, Action-Oriented Organization” and is the foremost network of socially and politically conscious women and activists. We care. We act. We help change lives.  Zeta Phi Beta Sorority, Incorporated has many trailblazing national programs focused on empowering the disenfranchised, supporting pregnant women of color, providing education on relevant topics and promoting awareness of social injustices. Z-HOPE, or Zetas Helping Other People Excel is an interactive and holistic multidimensional outreach program designed to enhance, cultivate and empower participants to develop healthy lifestyle choices. Stork’s Nest is a national partnership with the March of Dimes and is a community-based prenatal and health promotion program focused on assisting pregnant women whom live in low-income areas. Get Engaged is a social action program mobilized to find new ways to solve old problems that plague the communities we serve.  Since its inception, Zeta has continued its steady climb into the national spotlight with programs designed to demonstrate concern for the human condition both nationally and internationally.  The organization has been innovative in that it has chronicled a number of firsts.  Zeta was the first National Pan-Hellenic Council organization to centralize its operations in a national headquarters, the first to charter a chapter on the continent of Africa (1948), the first to form national youth and auxiliary groups, and the first to be constitutionally bound to a fraternity, Phi Beta Sigma Fraternity, Incorporated, making Zeta Phi Beta and Phi Beta Sigma true brother and sister organizations. Zeta takes pride in its continued participation in transforming communities through volunteerism from members and its auxiliaries. Zeta women are achievers and leaders in every field, with hundreds of chapters chartered worldwide and a membership of 120,000+ strong and growing.",,
2110,Planned Parenthood Generation Action SDSU IV,Imperial Valley Campus,,"Planned Parenthood Generation Action San Diego State University- Imperial Valley aims to educate our members and the greater community on sexual health, reproductive health, and reproductive justice. We promote civic engagement through political outreach on campus and in the community. We are committed to challenging single-issue organizing through cross-sector movement building and viewing issues from an intersectional lens. We are dedicated to providing a safe, accessible, and inclusive space open to all people. Planned Parenthood Generation Action San Diego State University- Imperial Valley seeks to accomplish all of these things while honoring the women of color who came before us, using the reproductive justice framework that they established.",,
2116,American Public Works Association (APWA),Academic Major Related,,The purpose of this organization is to inspire students to pursue a career in public works through education regarding the diversity of career paths available.,,
2122,Kairos Christian Fellowship,Religious Based,http://kairoschurch.org,"The vision of Kairos Christian Fellowship is to “Love God and Love people"" through the love of Jesus Christ, as our goal is to see people grow by developing and establishing Christian values, morals, and decision making skills.   Kairos Christian Fellowship is comprised of a network of small groups on and off campus, meeting throughout the week, as a small group is where honest friendships, Bible study, constant prayer, and compassionate care are emphasized. It is within these small groups where people are able to demonstrate the love of Jesus Christ to God and to one another.",Wednesday 7:30pm,Aztlan Student Union
2129,Foodies,Academic Major Related,,"The purposes of this organization are to provide a friendly environment for HTM or any interested students to network with industry professionals and fellow students to help their future success, as well as learn more about the restaurant industry",Wednesdays 12-1pm,2 - Metztli
2131,Political Science Student Organization at SDSU,Academic Major Related,,"The Political Science Student Organization is dedicated to connecting students with a love for political science through a variety of discussions, meetings, and events. We want to foster solidarity between students of different backgrounds with the enjoyment of politics as a major, minor, and interest.",Thursday 5:30-6:30PM Weekly,Visionary Student Union
2136,Noah Hytken Memorial Fund,Service & Support,https://www.noahhytkenmemorialfund.org/,The purpose of this organization is to create a scholarship endowment in honor of the late Noah Hytken for students that promote the physical and mental health of their peers and promote mental health awareness across San Diego State University.,TBD,
2137,Klesis Christian Fellowship,Religious Based,https://sdsu.klesis.org/,"The purposes of this organization are to create a space for people to seek answers to questions about God and life, to mentor students who want to grow in their faith or learn more about Christianity.",,
2140,Women In Sports,Academic Major Related,,"A community of collegiate women focused on entering the sports industry and breaking glass ceilings. Open to all women and non-binary individuals who would like to learn more about the sports industry, network, and build strong professional relationships.  Focusing on sports media, marketing, operations, journalism, finance, and other topics.",,
2148,Philosophy Club,Academic Major Related,https://sdsu.presence.io/organization/philosophy-club,To provide a space for engaging and thought provoking philosophical inquiry about any and all topics at SDSU.,Wednesdays 1pm,AL420
2149,San Diego Sales Engineers,Academic Major Related,https://www.nationalsse.org,To educate students about a possible career path where they use their scientific literacy and technical knowledge to educate customers about products and solve engineering problems related to industry objectives.,,
2152,Kolorhouse.SDSU,Recreational,http://kolor--house.com,"Cultivate creativity through clothing, community events, and conversation.","Wednesday, 5:30 PM",N/A
2155,Volunteers Around the World Global Health Alliances SDSU,Academic Major Related,https://www.vawglobal.org/,"Volunteers Around the World is a student run organization that serves to advance interest in the field of medicine though the philanthropic promotion of health in countries across the world. Our focus is to provide communities with access to medical treatment, medication, and health education, while familiarizing students with real-life medical situations involving actual patients. This unique abroad experience permits students to gain invaluable first-hand knowledge of medicine and its practice in foreign countries.",,
2157,Badminton Team at SDSU,Recreational,,Badminton sports team,,
2161,Jiu Jitsu Club at SDSU,Recreational,,To practice and enjoy the sport of Jiu Jitsu.,Mon-Friday,ARC Mat Room
2167,The Geography Club at SDSU,Academic Major Related,https://www.sdsugeog.club,"The purpose of this organization is to raise geography awareness and appreciation through various types of on and off-campus activities. We welcome all students interested in geographic exploration and knowledge. Our activities include field trips and socials, guest speakers, career development, volunteering, and community research.",See Website,Storm Hall
2171,Black Pre-Law Association,Academic Major Related,http://www.nblsa.org,"The purpose of the Black Pre-Law Association is to provide a community of like minded students interested in pursuing a legal career, along with resources to aid in their preparation in taking the LSAT and applying to law school. This organization shall work in tandem with NBLSA, SDSU faculty, chapters of Black Law Student Associations (BLSA) at law schools, and legal professionals to: conduct informational events, valuable workshops, and connect pre-law members with law school admissions offices in order to provide valuable insight on the application, financial aid, and curricular processes.  NBLSA's Pre-Law Student Division exists to create a pipeline between undergraduates/college graduates and law school. The goal of this organization is to provide a network of students interested in law where they can build relevant experience, valuable connections, and essential skills for law school. Through on and off campus events, the students of the Black Pre-Law Association will come together to prepare for law school while growing substantially as individuals and creating an inclusive community for potential future lawyers at SDSU.  The mission of NBLSA is to increase the number of culturally responsible Black and minority attorneys who excel academically, succeed professionally, and positively impact the community.","Thursdays, 3:30-4:30",Mata'yuum
2197,Out-of-State Student Association at San Diego State University,Service & Support,,"The purpose of this organization is to create and foster connections amongst the Out-of-State student population through events, mentoring, and fellowship.",,
2204,Hiking Club at SDSU,Recreational,,The purpose of this organization is to bring SDSU students together to participate in outdoor activities. We focus on promoting physical fitness through organized group hikes that range from easy to moderate.,Saturday; 9:00 A.M.,
2205,Language Exchange Community,Academic Major Related,https://www.instagram.com/lecsdsu/,"The purposes of this organization are to build a community for goal-oriented language learning in fun and creative ways. Whether you are learning a language for fun or for scholarly purposes, we will work together to share resources; methods for learning effectively; tutoring; language learning buddies; language counseling; and many more! A place to learn language the way they should be—through community!",,
2207,National Arab American Medical Association,Academic Major Related,https://naama.com/,"The purpose of this organization is to enhance and promote the medical knowledge of future healthcare professionals. We seek to empower undergraduate and graduate students to be active in healthcare advocacy, research, and community service through a shared Arab heritage. With medical professionals as role models, we can help to inspire and guide the career paths of our youth and give back to the Arab-American community.",,
2220,Women in Physics SDSU,Academic Major Related,,"Women in Physics at SDSU will bring together undergraduate students, graduate students, and faculty interested in Physics. Our organization aspires to address the gender gap in physics by bringing women and allies together by creating a community that  provides social events, professional development,  resources, and performs outreach to inspire younger students to pursue their interests regardless of their backgrounds.",,
2226,Organization for Pre-Health Advising (OPHA),Academic Major Related,,"OPHA is an organization that strives to aid students in their pre-health journey. We encourage students seeking careers in medicine, pharmacy, optometry, dentistry, and nursing to join our organization. We will provide opportunities for our members to expand their network in San Diego and to aid underserved communities by partnering up with different organizations in San Diego such as the American Red Cross and local medical and dental clinics. We will also help members build or strengthen their resumes and applications for graduate schools. OPHA is a great support system for SDSU students seeking healthcare careers where they will be able to meet and collaborate with their peers, learn about opportunities, and make an impact in the community. Everyone is welcome to participate.",Tuesdays: 5-6 PM,Zoom
2229,Drag@SDSU,Cultural,https://sites.google.com/sdsu.edu/sdsudrag/home?authuser=1,The purpose of this organization is to foster community and creativity for students and members interested in the artform and performance/ community of drag here at San Diego State University.,Fridays at 6 PM,Mata'yuum
2243,Women in Medicine (W.I.M),Academic Major Related,https://wimsdsu.wixsite.com/women-in-medicine,"The purpose of Women in Medicine is to empower and uplift fellow aspiring female identifying health providers to work alongside each other rather than against one another. In a competitive field medicine, networking, study buddies and leadership opportunities are essential! So whether you are working towards a goal of obtaining an MD, PT, Dental, Pharmacy, PA, Nursing, Veterinary degree and work in all other healthcare professions, we are hoping to create a sense of community between female students. We are an innovative organization with an emphasis on inclusion for all students and their future healthcare professions. Through our passionate ambitions, we will support all members to achieve leadership within their field in order to surpass prejudice in the medical field.",Biweekly Wednesdays 6:00 PM (starting 08/28),State Suite
2247,Women in Construction,Academic Major Related,,"The purpose of this organization is to advance students’ knowledge and understanding of the construction industry by providing a support system of guidance, resources and networking. The goal is to develop a sense of community for students within the construction industry that will enhance their success in pursuing opportunities and facilitate career growth.",,
2249,Taiwanese Student Association,Cultural,https://www.instagram.com/sdsu_tsa,The purpose of this organization is to provide a sense of community as well as information and assistance to international/exchange students from Taiwan as well as students of Taiwanese heritage. We also welcome other students who are interested in Taiwanese culture to come and learn more about it as well.,Friday 4:00 PM to 6:00 PM,Matayu'um
2251,Project Rebound Student Alliance,Service & Support,,"The purpose of this organization is to foster a support network among students at San Diego State University (SDSU) who are formerly incarcerated, system impacted and/or allies of this population. Project Rebound Student Alliance (PRSA) will promote awareness of the carceral experiences by combining the lived experiences of SDSU Project Rebound program participants and the academic knowledge of other SDSU students. PRSA will promote social growth, academic insights, leadership development, peer advising, and community involvement. The mission of the Project Rebound Student Alliance (PRSA) is to unite program participants of Project Rebound with the campus community at San Diego State University through fellowship, leadership development, and peer to peer support. PRSA will serve as a support network for students that have been previously incarcerated with students who may be justice impacted and/or care to deepen their understanding of the societal impact the justice system has on society and are actively pursuing academic and social growth for themselves and others. Members of PRSA will be involved with furthering the vision of our Org by bridging the gap between formerly incarcerated students with non formerly incarcerated students and thereby reducing stigmas associated with incarceration and thereby increasing our member’s academic success and our organization's reach and impact throughout campus and community.",Mondays @ 7:00 pm,"ASU,"
2253,Betty Boarders,Recreational,,The purpose of Betty Boarders is to empower and bring together female surfers and embrace surf culture.,Sundays at 9am,The Beach
2258,In The Mix SDSU,Recreational,,"Our goal as a DJ club is to build a fun entertainment-filled community of music fanatics, free to expand their horizons and express their creativity through mixing/producing music. We not only offer free training for students, but also look to organize and provide music events on campus; we also are open for bookings of functions in the area of SDSU. Most importantly, we strive to enhance student life with a more energetic, stress-relieving atmosphere through the provision of DJ entertainment.",,
2262,Asian American Journalist Association,Academic Major Related,https://www.instagram.com/aajasdsu/,"To provide a means of association and support among Asian American and Pacific Islander aspiring journalists. To connect Asian American and Pacific Islander students with the national organization and regional chapters of AAJA, encouraging professional and personal development. To provide to the Asian American and Pacific Islander community at SDSU an awareness of news media and an understanding of how to gain fair access through resources offered by AAJA.",Tuesdays from 12-1 (Biweekly),"Conference Room, Lamden Hall"
2263,Transfer Student Outreach Alliance (TSOA),Service & Support,https://tsoa.sdsu.edu/,"The purposes of this organization are to provide outreach and mentorship by promoting scholarship, community service, leadership, study abroad, and research opportunities for San Diego State University transfer students and community college students in San Diego County.",,
2275,Education Without Borders (EWB),Service & Support,https://empower.sdsu.edu/,Empower the undocumented student community at San Diego State University by fostering connections and organizing support networks. Educate the broader campus community about the challenges faced by undocumented students today. Provide valuable resources to help students enhance and navigate their higher education journey.,To be determined,To be determined
2276,Destino,Religious Based,http://destino.org,To empower the next generation of Latino/as to change the world through Christ.,Tuesdays at 7:00 p.m.,3-Presidential Suite
2277,"Students Creating Rides, Entertainment, Attractions, and Memories (SCREAM) at SDSU",Academic Major Related,https://sdsuscream.wixsite.com/website,"To provide opportunities, connections, engagement, and memories within the theme park, live events, and attractions industries.",Thursdays 7:30-8:30pm,
2284,Nikkei Student Union,Cultural,https://incsocal.weebly.com/,To promote Japanese and Japanese American culture and community within the San Diego State Campus in an inclusive environment,,
2288,Aztec American Sign Language (ASL) Club at SDSU,Cultural,,"The purposes of this organization are to promote awareness of American Sign Language and Deaf Culture at SDSU and around the community, preserve ASL and Deaf Studies, provide a friendly productive learning environment for ASL/Deaf Studies and all SDSU students through social and educational events on and off campus.",Varies,on/off campus
2291,Social Workers of Color Student Coalition,Academic Major Related,,"The purpose of this organization is to create an alliance for people who self-identify as people of color in the social work field by reflecting and respecting our experiences within and beyond the Bachelor's and Master's of Social Work programs.   The purpose is also to highlight the core values of the NASW Code of Ethics, such as “dignity and worth of the person” and “importance of human relationship,” by uplifting the voices of self-identified persons of color who lack representation within the SDSU Social Work Community.   The organization will fulfill this by providing supplemental learning opportunities on cultural humility and diversity. The organization will also advocate for initiatives upheld by SDSU to increase cultural and social diversity within the Department of Social Work.",Second Thursday of the month @ 7pm,Aztlan
2303,The Alt Protein Project SDSU,Leadership,https://gfi.org/,"The Alt Protein Project is committed to alternative protein education, research, and innovation in an academically intersectional community. Alternative proteins explored include plant-based, cultivated, and fermentation-derived meat, egg, and dairy products.",Tuesday 2:00pm (biweekly),Aztec Student Union - Aztlan
2307,Musicians' Club @ SDSU (MC@SDSU),Recreational,https://musiciansclub.com/,"The purpose of the Musicians' Club @ SDSU is to provide a network for musicians to communicate, promote socialization and growth in a creative environment, and allow musicians of all skill levels the opportunity to perform in front of live crowds.",Thursdays 7PM,Park Boulevard
2308,Interdisciplinary Studies Student Association (ISSA),Academic Major Related,,The purpose of the Interdisciplinary Studies Student Association (ISSA) is to support students within the IS3D major or those exploring the major. Create a community where students understand the connection of their three disciplines and how they relate to their future career goals.,"Tuesdays, 4:30-5:30 PM","Visionary Suite, Student Union"
2309,Aztec Pickleball Association,Recreational,,To get students active and involved in the fastest growing sport in America. To allow the opportunity for students to get instructing positions at local sports clubs that offer competitive pay.,,
2310,Tabletop Gaming Club,Recreational,https://discord.gg/PSRm2MSV8j,"TTGC works to create a fun environment where we can play board games and make friends.  Discord Invite Link: https://discord.gg/PSRm2MSV8j Instagram: ttgc.sdsu",Tuesday 5:30,
2315,Student Veteran Organization,Cultural,http://www.sdsusvo.org/,Create a space for the Veteran and Military-Connected community to grow together.,"Every other Wednesday, at 12:00",Joan and Art Barron Veteran Center
2320,Hispanic Serving Institution Student Advisory Board (HSI SAB),Cultural,https://sacd.sdsu.edu/diversity-initiatives/hsi-affairs,"The HSI Student Advisory Board is a forum for the consideration, assessment and sharing of the quality of the student experience as it relates to SDSU’s status as a Hispanic Serving Institution.  This includes the student perspective on the implementation of policies and procedures, curriculum, climate, scholarship, representation, student success, and awareness of SDSU’s status as a Hispanic Serving Institution. Activities can include sharing student experiences, posing questions for considerations, making suggestions for change, and generally working with the committee and chair to advance the HSI mission from a student perspective.","Bi-weekly - Fridays at 12pm, starting on 9/6/24",Virtually or at the HSI SAB Office on-campus
2332,Air Force ROTC Honor Guard,Academic Major Related,,To maintain and employ a ceremonial capability to represent SDSU and the Air Force at public and official ceremonies.,,
2337,Asian Business Association at SDSU,Academic Major Related,,"The purposes of this organization are to create a community where the motivated, business-minded members of the American Pacific Islander Desi American (APIDA) community can grow and connect with one another. By doing so, we aim to empower APIDA Members to proudly identify with the Business Community. We are devoted to supporting our members in both their educational and professional pursuits by providing opportunities for them to build their networking and career readiness skills.",,
2342,Save Soil SDSU,Academic Major Related,https://savesoilsdsu.wixsite.com/save-soil-sdsu,"The purpose of this organization is to raise awareness about soil health and the messages of Save Soil—the global movement—among students at SDSU and the surrounding San Diego community. 	 As 52% of the world's agricultural soil is already degraded, Save Soil--the global movement--aims to raise the support of 4 billion people (60% of the world’s electorate) to drive policies in democratic nations, including the U.S., towards revitalizing soil health by increasing the organic content in soil to a minimum of 3-6%.",Biweekly Tuesday (starting 08/27) | 3:30 - 4:30 PM,Aztlan Suite (2nd Floor of Student Union)
2348,Beta Theta Pi Fraternity,Social Fraternity,http://www.beta.org,To develop Men of Principle for a principled life.,"Sunday, 5pm",Pride Suite
2353,Adapted Sports Physical Therapy,Academic Major Related,,"ASPT is committed to service learning by providing diverse educational opportunities rooted in community engagement, mentorship, and experiential learning. Our purpose is to enable future physical therapists to develop clinical reasoning and communication skills with an interdisciplinary approach, and support the adaptive athlete in their athletic performance and well-being.",Thursday 4:15-5:30AM,PG 241
2355,Student Nurses Association - Imperial Valley (SNA-IV),Imperial Valley Campus,https://www.nsna.org,"The purposes of SNA-SDSUIV are: To assume responsibility for contributing to nursing education in order to provide for the highest quality of healthcare. To provide programs representative of fundamental and current professional interest and concerns. To aid in the development of the whole person, their professional role, and their responsibility for the health care of people in all walks of life.",Thursday's Bi Weekly (2x per month) at 1pm,SDSU-IV Brawley Campus
2356,Film Society SDSU,Academic Major Related,,"The purpose of film society is to help new TFM production pre-majors get to meet one another, work together to make films and seek advice about applying to the major.",Tuesdays 5 to 6 PM,Legacy Suite
2357,Art History Club,Academic Major Related,,"The purposes of this organization are to educate members on the history of art, create an inclusive environment where students may learn about, discuss, and appreciate the history of art, and to encourage engagement with the arts through events, trips, discussions, etc.",,
2358,Business Careers in Entertainment Club,Academic Major Related,https://bcecsdsu.com,"The purposes of this organization are to provide internships, job opportunities, hands-on experience, and career information to undergraduate students interested in the business end of the entertainment industry.",Monday 7:30pm,Visionary Suite
2380,Association of Anthropology Students,Academic Major Related,https://sdsuaas.weebly.com/,"The purpose of this organization is to facilitate a unified undergraduate student voice for the department of anthropology, and create a sense of community",biweekly- Fridays 5:00-6:00pm,Metzli Suite Aztec Union
2381,Society of American Military Engineers Student Chapter,Academic Major Related,https://www.same.org/,"To connect, integrate, promote, and support SDSU Undergrads to, and with, Military Engineering Industry by providing industry mentoring, internships, scholarships, and building relationships to enhance future career opportunities.",,
2388,Feminist Outreach Coalition,Cultural,,"The purposes of this organization is to bring greater awareness to the issues impacting women and other people of marginalized genders and identities. The Feminist Outreach Coalition hopes to  make our voices heard as leaders in feminism and the discipline Women, Gender, Sexuality Studies. We will also organize events for feminist community outreach and education.",Wednesday from 2-3 pm,Arts & Letters 330
2391,Surfrider Club at SDSU,Recreational,http://surfrider.org,"Surfrider is dedicated to protecting and enjoying the world’s oceans, waves, and beaches for all people through a powerful activist network. At the center of every action we take is our mission, our grassroots structure, and our local perspectives. We aim for positive impact and measurable results on behalf of the communities that we serve.",Tuesday 4pm-5pm,Student Union - Visionary Suite
2392,Positivity Club,Service & Support,http://none,"Our organization's goal is ""to be the reason someone smiles today"". We practice random acts of kindness throughout campus and make improving student's mental health a priority. Our overall purpose is to be an outlet for students to come to and to overall make the world a happier place:)",TBD,Student Life and Leadership Center
